# ssf2t_hdremix_trigger_map: see REBUILDING.md
0xd4	play	1	1	01 Rock the Asphalt (Opening Demo)	listening_approved_hardware_pending
0x3b	none	0	-	Original arcade audio	No corresponding arrangement or excluded by spec
0x3d	none	0	-	Original arcade audio	No corresponding arrangement or excluded by spec
0x3f	none	0	-	Original arcade audio	No corresponding arrangement or excluded by spec
0x40	none	0	-	Original arcade audio	No corresponding arrangement or excluded by spec
0xc0	none	0	-	Original arcade audio	No corresponding arrangement or excluded by spec
0xc1	none	0	-	Original arcade audio	No corresponding arrangement or excluded by spec
0xd1	none	0	-	Original arcade audio	No corresponding arrangement or excluded by spec
0xd2	none	0	-	Original arcade audio	No corresponding arrangement or excluded by spec
0xd5	none	0	-	Original arcade audio	No corresponding arrangement or excluded by spec
0xd6	none	0	-	Original arcade audio	No corresponding arrangement or excluded by spec
